"cell","truth","preliminary","predicted"
"GSM1486695","v6.5 mouse serum+LIF","3","2"
"GSM1486696","v6.5 mouse serum+LIF","3","2"
"GSM1486697","v6.5 mouse serum+LIF","3","2"
"GSM1486698","v6.5 mouse serum+LIF","3","2"
"GSM1486699","v6.5 mouse serum+LIF","3","2"
"GSM1486700","v6.5 mouse serum+LIF","3","2"
"GSM1486703","v6.5 mouse serum+LIF","3","2"
"GSM1486704","v6.5 mouse serum+LIF","3","2"
"GSM1486705","v6.5 mouse serum+LIF","3","2"
"GSM1486706","v6.5 mouse serum+LIF","3","2"
"GSM1486707","v6.5 mouse serum+LIF","3","2"
"GSM1486708","v6.5 mouse serum+LIF","3","2"
"GSM1486709","v6.5 mouse serum+LIF","3","2"
"GSM1486710","v6.5 mouse serum+LIF","3","2"
"GSM1486711","v6.5 mouse serum+LIF","3","2"
"GSM1486712","v6.5 mouse serum+LIF","3","2"
"GSM1486717","v6.5 mouse serum+LIF","3","2"
"GSM1486719","v6.5 mouse serum+LIF","3","2"
"GSM1486721","v6.5 mouse serum+LIF","3","2"
"GSM1486817","v6.5 mouse 2i+LIF","1","0"
"GSM1486818","v6.5 mouse 2i+LIF","1","0"
"GSM1486819","v6.5 mouse 2i+LIF","1","0"
"GSM1486820","v6.5 mouse 2i+LIF","1","0"
"GSM1486821","v6.5 mouse 2i+LIF","1","0"
"GSM1486822","v6.5 mouse 2i+LIF","1","0"
"GSM1486823","v6.5 mouse 2i+LIF","1","0"
"GSM1486824","v6.5 mouse 2i+LIF","1","0"
"GSM1486825","v6.5 mouse 2i+LIF","1","0"
"GSM1486826","v6.5 mouse 2i+LIF","1","0"
"GSM1486827","v6.5 mouse 2i+LIF","1","0"
"GSM1486828","v6.5 mouse 2i+LIF","1","0"
"GSM1486829","v6.5 mouse 2i+LIF","1","0"
"GSM1486830","v6.5 mouse 2i+LIF","1","0"
"GSM1486831","v6.5 mouse 2i+LIF","1","0"
"GSM1486832","v6.5 mouse 2i+LIF","1","0"
"GSM1486833","v6.5 mouse 2i+LIF","1","0"
"GSM1486834","v6.5 mouse 2i+LIF","1","0"
"GSM1486835","v6.5 mouse 2i+LIF","1","0"
"GSM1486836","v6.5 mouse 2i+LIF","1","0"
"GSM1486837","v6.5 mouse 2i+LIF","1","0"
"GSM1486838","v6.5 mouse 2i+LIF","1","0"
"GSM1486839","v6.5 mouse 2i+LIF","1","0"
"GSM1486840","v6.5 mouse 2i+LIF","1","0"
"GSM1486841","v6.5 mouse 2i+LIF","1","0"
"GSM1486842","v6.5 mouse 2i+LIF","1","0"
"GSM1486843","v6.5 mouse 2i+LIF","1","0"
"GSM1486844","v6.5 mouse 2i+LIF","1","0"
"GSM1486845","v6.5 mouse 2i+LIF","1","0"
"GSM1486846","v6.5 mouse 2i+LIF","1","0"
"GSM1486847","v6.5 mouse 2i+LIF","1","0"
"GSM1486848","v6.5 mouse 2i+LIF","1","0"
"GSM1486849","v6.5 mouse 2i+LIF","1","0"
"GSM1486850","v6.5 mouse 2i+LIF","1","0"
"GSM1486851","v6.5 mouse 2i+LIF","1","0"
"GSM1486852","v6.5 mouse 2i+LIF","1","0"
"GSM1486853","v6.5 mouse 2i+LIF","1","0"
"GSM1486854","v6.5 mouse 2i+LIF","1","0"
"GSM1486855","v6.5 mouse 2i+LIF","1","0"
"GSM1486856","v6.5 mouse 2i+LIF","1","0"
"GSM1486857","v6.5 mouse 2i+LIF","1","0"
"GSM1486858","v6.5 mouse 2i+LIF","1","0"
"GSM1486859","v6.5 mouse 2i+LIF","1","0"
"GSM1486860","v6.5 mouse 2i+LIF","1","0"
"GSM1486861","v6.5 mouse 2i+LIF","1","0"
"GSM1486862","v6.5 mouse 2i+LIF","1","0"
"GSM1486863","v6.5 mouse 2i+LIF","1","0"
"GSM1486864","v6.5 mouse 2i+LIF","1","0"
"GSM1486865","v6.5 mouse 2i+LIF","1","0"
"GSM1486866","v6.5 mouse 2i+LIF","1","0"
"GSM1486867","v6.5 mouse 2i+LIF","1","0"
"GSM1486868","v6.5 mouse 2i+LIF","1","0"
"GSM1486869","v6.5 mouse 2i+LIF","1","0"
"GSM1486870","v6.5 mouse 2i+LIF","1","0"
"GSM1486871","v6.5 mouse 2i+LIF","1","0"
"GSM1486872","v6.5 mouse 2i+LIF","1","0"
"GSM1486873","v6.5 mouse 2i+LIF","1","0"
"GSM1486874","v6.5 mouse 2i+LIF","1","0"
"GSM1486875","v6.5 mouse 2i+LIF","1","0"
"GSM1486876","v6.5 mouse 2i+LIF","1","0"
"GSM1486877","v6.5 mouse 2i+LIF","1","0"
"GSM1486878","v6.5 mouse 2i+LIF","1","0"
"GSM1486879","v6.5 mouse 2i+LIF","1","0"
"GSM1486880","v6.5 mouse 2i+LIF","1","0"
"GSM1486881","v6.5 mouse 2i+LIF","1","0"
"GSM1486882","v6.5 mouse 2i+LIF","1","0"
"GSM1486883","v6.5 mouse 2i+LIF","1","0"
"GSM1486884","v6.5 mouse 2i+LIF","1","0"
"GSM1486885","v6.5 mouse 2i+LIF","1","0"
"GSM1486886","v6.5 mouse 2i+LIF","1","0"
"GSM1486887","v6.5 mouse 2i+LIF","1","0"
"GSM1486888","v6.5 mouse 2i+LIF","1","0"
"GSM1486889","v6.5 mouse 2i+LIF","1","0"
"GSM1486890","v6.5 mouse 2i+LIF","1","0"
"GSM1486891","v6.5 mouse 2i+LIF","1","0"
"GSM1486892","v6.5 mouse 2i+LIF","1","0"
"GSM1486893","v6.5 mouse 2i+LIF","1","0"
"GSM1486894","v6.5 mouse 2i+LIF","1","0"
"GSM1486895","v6.5 mouse 2i+LIF","1","0"
"GSM1486896","v6.5 mouse 2i+LIF","1","0"
"GSM1486897","v6.5 mouse 2i+LIF","1","0"
"GSM1486898","v6.5 mouse 2i+LIF","1","0"
"GSM1486899","v6.5 mouse 2i+LIF","1","0"
"GSM1486900","v6.5 mouse 2i+LIF","1","0"
"GSM1486901","v6.5 mouse 2i+LIF","1","0"
"GSM1486902","v6.5 mouse 2i+LIF","1","0"
"GSM1486903","v6.5 mouse 2i+LIF","1","0"
"GSM1486904","v6.5 mouse 2i+LIF","1","0"
"GSM1486905","v6.5 mouse 2i+LIF","1","0"
"GSM1486906","v6.5 mouse 2i+LIF","1","0"
"GSM1486907","v6.5 mouse 2i+LIF","1","0"
"GSM1486908","v6.5 mouse 2i+LIF","1","0"
"GSM1486909","v6.5 mouse 2i+LIF","1","0"
"GSM1486910","v6.5 mouse 2i+LIF","1","0"
"GSM1486911","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486912","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486913","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486914","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486915","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486916","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486917","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486918","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486919","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486920","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486921","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486922","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486923","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486924","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486925","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486926","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486927","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486928","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486929","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486930","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486931","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486932","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486933","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486934","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486935","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486936","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486937","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486938","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486939","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486940","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486941","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486942","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486943","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486944","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486945","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486946","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486947","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486948","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486949","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486950","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486951","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486952","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486953","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486954","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486955","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486956","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486957","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486958","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486959","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486960","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486961","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486962","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486963","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486964","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486965","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486966","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486967","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486968","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486969","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486970","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486971","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486972","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486973","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486974","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486975","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486976","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486977","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486978","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486979","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486980","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486982","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486983","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486984","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486985","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486986","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486987","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486988","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486989","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486990","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486991","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486992","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486993","Dgcr8 knockout mouse serum+LIF","2","1"
"GSM1486994","Dgcr8 knockout mouse serum+LIF","2","1"
